table,reason,data_json,error
departments,skipped_existing,"{""code"": 0, ""description"": ""Sin departamento""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 2, ""description"": ""2%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 3, ""description"": ""3%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 4, ""description"": ""4%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 5, ""description"": ""5%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 6, ""description"": ""6%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 7, ""description"": ""7%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 8, ""description"": ""8%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 9, ""description"": ""9%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 10, ""description"": ""10%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 11, ""description"": ""11%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 12, ""description"": ""12%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 13, ""description"": ""13%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 15, ""description"": ""15%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 17, ""description"": ""17%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 18, ""description"": ""18%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 19, ""description"": ""19%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 20, ""description"": ""20%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 21, ""description"": ""21%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 22, ""description"": ""22%""}",UNIQUE constraint failed: departments.code
tickets,integrity_error,"{""ID"": 18, ""createdAt"": ""2024-10-25 11:06:56"", ""subTotal"": 70.0, ""total"": 100.0, ""profit"": 15.0, ""articleCount"": 2, ""notes"": """", ""discount"": 0.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 19, ""createdAt"": ""2024-10-25 11:09:19"", ""subTotal"": 30.0, ""total"": 50.0, ""profit"": 8.0, ""articleCount"": 1, ""notes"": """", ""discount"": 0.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 20, ""createdAt"": ""2024-10-25 11:12:47"", ""subTotal"": 260.5, ""total"": 260.5, ""profit"": 85.0, ""articleCount"": 10, ""notes"": ""FRANCISCO MARTIN DEL CAMPO #27"", ""discount"": 0.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 21, ""createdAt"": ""2024-10-25 11:15:32"", ""subTotal"": 37.5, ""total"": 40.0, ""profit"": 17.0, ""articleCount"": 5, ""notes"": """", ""discount"": 0.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 22, ""createdAt"": ""2024-10-25 11:29:37"", ""subTotal"": 654.5, ""total"": 654.5, ""profit"": 110.0, ""articleCount"": 51, ""notes"": """", ""discount"": 10.54}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 23, ""createdAt"": ""2024-10-25 11:29:38"", ""subTotal"": 654.5, ""total"": 654.5, ""profit"": 110.0, ""articleCount"": 51, ""notes"": """", ""discount"": 10.54}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 24, ""createdAt"": ""2024-10-25 11:31:21"", ""subTotal"": 60.0, ""total"": 60.0, ""profit"": 12.0, ""articleCount"": 1, ""notes"": ""sra martina 4.00pm"", ""discount"": 2.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 25, ""createdAt"": ""2024-10-25 11:33:11"", ""subTotal"": 654.0, ""total"": 654.0, ""profit"": 97.0, ""articleCount"": 16, ""notes"": ""Huejotitan"", ""discount"": 12.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 26, ""createdAt"": ""2024-10-25 11:33:52"", ""subTotal"": 7.5, ""total"": 7.5, ""profit"": 2.0, ""articleCount"": 1, ""notes"": """", ""discount"": 0.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 27, ""createdAt"": ""2024-10-25 11:37:02"", ""subTotal"": 59.0, ""total"": 59.0, ""profit"": 10.0, ""articleCount"": 3, ""notes"": ""federico ibarra 32"", ""discount"": 2.5}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 28, ""createdAt"": ""2024-10-25 11:38:48"", ""subTotal"": 112.0, ""total"": 112.0, ""profit"": 23.0, ""articleCount"": 1, ""notes"": """", ""discount"": 0.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 29, ""createdAt"": ""2024-10-25 11:47:25"", ""subTotal"": 92.0, ""total"": 92.0, ""profit"": 16.0, ""articleCount"": 6, ""notes"": """", ""discount"": 1.5}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 30, ""createdAt"": ""2024-10-25 11:47:25"", ""subTotal"": 92.0, ""total"": 92.0, ""profit"": 16.0, ""articleCount"": 6, ""notes"": """", ""discount"": 1.5}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 31, ""createdAt"": ""2024-10-25 11:54:48"", ""subTotal"": 119.0, ""total"": 119.0, ""profit"": 28.0, ""articleCount"": 4, ""notes"": """", ""discount"": 2.31}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 32, ""createdAt"": ""2024-10-25 11:56:41"", ""subTotal"": 232.0, ""total"": 232.0, ""profit"": 71.0, ""articleCount"": 3, ""notes"": ""panaderia mana"", ""discount"": 13.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 33, ""createdAt"": ""2024-10-25 11:58:13"", ""subTotal"": 193.5, ""total"": 193.5, ""profit"": 34.0, ""articleCount"": 5, ""notes"": """", ""discount"": 5.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 34, ""createdAt"": ""2024-10-25 12:01:57"", ""subTotal"": 203.0, ""total"": 203.0, ""profit"": 32.0, ""articleCount"": 2, ""notes"": ""prepa don gallo"", ""discount"": 3.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 35, ""createdAt"": ""2024-10-25 12:07:01"", ""subTotal"": 98.0, ""total"": 98.0, ""profit"": 20.0, ""articleCount"": 2, ""notes"": """", ""discount"": 2.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 36, ""createdAt"": ""2024-10-25 12:08:01"", ""subTotal"": 68.0, ""total"": 68.0, ""profit"": 12.0, ""articleCount"": 1, ""notes"": """", ""discount"": 1.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 37, ""createdAt"": ""2024-10-25 12:15:06"", ""subTotal"": 284.0, ""total"": 284.0, ""profit"": 55.0, ""articleCount"": 4, ""notes"": """", ""discount"": 5.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 38, ""createdAt"": ""2024-10-25 12:16:50"", ""subTotal"": 279.0, ""total"": 279.0, ""profit"": 52.0, ""articleCount"": 2, ""notes"": ""cuauhtemoc 459"", ""discount"": 1.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 39, ""createdAt"": ""2024-10-25 12:18:25"", ""subTotal"": 112.0, ""total"": 112.0, ""profit"": 24.0, ""articleCount"": 3, ""notes"": ""velizario dominguez 24"", ""discount"": 2.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 40, ""createdAt"": ""2024-10-25 12:26:30"", ""subTotal"": 78.0, ""total"": 78.0, ""profit"": 11.0, ""articleCount"": 1, ""notes"": """", ""discount"": 1.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 41, ""createdAt"": ""2024-10-25 12:26:30"", ""subTotal"": 78.0, ""total"": 78.0, ""profit"": 11.0, ""articleCount"": 1, ""notes"": """", ""discount"": 1.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 42, ""createdAt"": ""2024-10-25 12:33:48"", ""subTotal"": 48.0, ""total"": 48.0, ""profit"": 9.0, ""articleCount"": 1, ""notes"": """", ""discount"": 2.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 43, ""createdAt"": ""2024-10-25 12:36:02"", ""subTotal"": 151.0, ""total"": 151.0, ""profit"": 28.0, ""articleCount"": 4, ""notes"": """", ""discount"": 5.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 44, ""createdAt"": ""2024-10-25 12:40:28"", ""subTotal"": 175.0, ""total"": 175.0, ""profit"": 28.0, ""articleCount"": 6, ""notes"": """", ""discount"": 4.5}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 45, ""createdAt"": ""2024-10-25 12:41:26"", ""subTotal"": 62.0, ""total"": 62.0, ""profit"": 12.0, ""articleCount"": 2, ""notes"": """", ""discount"": 0.0}",NOT NULL constraint failed: tickets.user_id
